id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q6514262,Siri A. Meling,,,,,,,Q2035042
Q11212577,Olaug Bollestad,,,,,,,Q2035042
Q7827239,Torstein Tvedt Solberg,,,,,,,Q2035042
Q3433242,Bente Thorsen,,,,,,,Q2035042
Q3434378,Arve Kambe,,,,,,,Q2035042
Q15613897,Hege Haukeland Liadal,,,,,,,Q2035042
Q12006405,Tina Bru,,,,,,,Q2035042
Q15115946,Roy Steffensen,,,,,,,Q2035042
Q4572995,Geir Pollestad,,,,,,,Q2035042
Q15103354,Geir Toskedal,,,,,,,Q2035042
Q15079451,Iselin Nybø,,,,,,,Q2035042
Q6515401,Ingrid Heggø,,,,,,,Q2035042
Q291655,Liv Signe Navarsete,,,,,,,Q2035042
Q4568928,Bjørn Lødemel,,,,,,,Q2035042
Q1766708,Sveinung Rotevatn,,,,,,,Q2035042
Q1772899,Terje Lien Aasland,,,,,,,Q2035042
Q329487,Torbjørn Røe Isaksen,,,,,,,Q2035042
Q5004945,Bård Hoksrud,,,,,,,Q2035042
Q6522398,Lene Vågslid,,,,,,,Q2035042
Q11963717,Christian Tynning Bjørnø,,,,,,,Q2035042
Q3433134,Geir Bekkevold,,,,,,,Q2035042
Q1783942,Martin Henriksen,,,,,,,Q2035042
Q282077,Elisabeth Aspaker,,,,,,,Q2035042
Q217556,Øyvind Korsberg,,,,,,,Q2035042
Q282082,Tove Karoline Knutsen,,,,,,,Q2035042
Q11980525,Kent Gudmundsen,,,,,,,Q2035042
Q15075009,Torgeir Knag Fylkesnes,,,,,,,Q2035042
Q11977297,Ingvild Kjerkol,,,,,,,Q2035042
Q4591112,Arild Grande,,,,,,,Q2035042
Q1770676,Marit Arnstad,,,,,,,Q2035042
Q11967100,Elin Agdestein,,,,,,,Q2035042
Q4760015,André N. Skjelstad,,,,,,,Q2035042
Q527177,Trond Giske,,,,,,,Q2035042
Q6514654,Linda Hofstad Helleland,,,,,,,Q2035042
Q5415094,Eva Kristin Hansen,,,,,,,Q2035042
Q935613,Per Sandberg,,,,,,,Q2035042
Q11969907,Frank Jenssen,,,,,,,Q2035042
Q6279004,Jorodd Asphjell,,,,,,,Q2035042
Q15072255,Karianne O. Tung,,,,,,,Q2035042
Q5698868,Heidi Greni,,,,,,,Q2035042
Q15116081,Sivert Bjørnstad,,,,,,,Q2035042
Q981680,Snorre Valen,,,,,,,Q2035042
Q6514988,Svein Flåtten,,,,,,,Q2035042
Q1157171,Dag Terje Andersen,,,,,,,Q2035042
Q1772964,Anders Anundsen,,,,,,,Q2035042
Q15078687,Kårstein Eidem Løvaas,,,,,,,Q2035042
Q6515138,Sonja Mandt,,,,,,,Q2035042
Q6914542,Morten Stordalen,,,,,,,Q2035042
Q15093568,Anders Tyvand,,,,,,,Q2035042
Q6513933,Svein Roald Hansen,,,,,,,Q2035042
Q1770438,Ingjerd Schou,,,,,,,Q2035042
Q6513706,Ulf Leirstein,,,,,,,Q2035042
Q6069095,Irene Johansen,,,,,,,Q2035042
Q15229741,Bengt Morten Wenstøb,,,,,,,Q2035042
Q4571375,Stein Erik Lauvås,,,,,,,Q2035042
Q1355543,Erlend Wiborg,,,,,,,Q2035042
Q15229784,Eirik Milde,,,,,,,Q2035042
Q6513663,Line Henriette Hjemdal,,,,,,,Q2035042
